respondent_id,sexo,idade,regionalmora,precisa_melhorias,indicaria_pampulha_lazer,variable,tipo_lazer
11193079846,Feminino,66,Norte,NS,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11193014352,Feminino,74,Norte,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11191305793,Masculino,61,Leste,Sim,Nao,principaispreferenciaslazer_1,bares botecos e restaurantes
11189400874,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11188583710,Masculino,66,Leste,Nao,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11188317590,Masculino,62,Noroeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11188050885,Masculino,64,Barreiro,Nao,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11187920695,Masculino,77,Leste,Sim,Nao,principaispreferenciaslazer_1,bares botecos e restaurantes
11186442374,Feminino,66,Noroeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11186413914,Masculino,67,Noroeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11186279873,Feminino,68,Noroeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11185249349,Masculino,60,Nordeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184968903,Masculino,64,Centro Sul,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184968712,Masculino,62,Leste,Sim,Nao,principaispreferenciaslazer_1,bares botecos e restaurantes
11184936131,Feminino,75,Pampulha,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184915705,Feminino,63,Barreiro,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184898897,Masculino,61,Leste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184857331,Masculino,78,Nordeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184846220,Feminino,62,Centro Sul,NS,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184835233,Masculino,61,Nordeste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184824061,Masculino,64,Pampulha,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11184806050,Feminino,67,Leste,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11183630259,Masculino,70,Barreiro,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11176136921,Feminino,60,Centro Sul,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11175986212,Masculino,63,Centro Sul,Sim,Sim,principaispreferenciaslazer_1,bares botecos e restaurantes
11193079846,Feminino,66,Norte,NS,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11191569601,Feminino,80,Leste,Nao,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11189360205,Feminino,64,Noroeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11188571079,Feminino,63,Nordeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11188002861,Feminino,60,Noroeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11187986619,Feminino,69,Leste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11186527797,Feminino,71,Venda Nova,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11186389992,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11185040345,Feminino,80,Nordeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11185016211,Masculino,62,Centro Sul,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184968903,Masculino,64,Centro Sul,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184936131,Feminino,75,Pampulha,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184857575,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184845260,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184813852,Feminino,75,Centro Sul,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184806050,Feminino,67,Leste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11183750908,Feminino,78,Oeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11183738177,Feminino,75,Oeste,Sim,Sim,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11176607355,Feminino,62,Centro Sul,Sim,Nao,principaispreferenciaslazer_2,cultura e arte _cinema teatro shows
11184857575,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_3,festas em locais privados_baladas eventos
11184818396,Feminino,81,Leste,Sim,Sim,principaispreferenciaslazer_3,festas em locais privados_baladas eventos
11183523884,Masculino,60,Centro Sul,Sim,Sim,principaispreferenciaslazer_3,festas em locais privados_baladas eventos
11189360205,Feminino,64,Noroeste,Sim,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11186292411,Masculino,60,Venda Nova,Sim,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11186248138,Masculino,66,Venda Nova,Sim,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11184806050,Feminino,67,Leste,Sim,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11184775495,Masculino,63,Pampulha,NS,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11183990344,Feminino,84,Barreiro,Sim,Nao,principaispreferenciaslazer_4,atividades vinculadas a esportes
11183750908,Feminino,78,Oeste,Sim,Sim,principaispreferenciaslazer_4,atividades vinculadas a esportes
11192773162,Feminino,60,Norte,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11191569601,Feminino,80,Leste,Nao,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11191474499,Feminino,67,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11189400874,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11189360205,Feminino,64,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11188571079,Feminino,63,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11188169152,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11188004007,Feminino,65,Nordeste,NR,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11187966922,Masculino,68,Leste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186527797,Feminino,71,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186503238,Feminino,65,Norte,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186471579,Feminino,65,Venda Nova,,Nao Visitou a Pampulha,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186466504,Feminino,65,Norte,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186430066,Feminino,78,Norte,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186389992,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186374560,Feminino,70,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186296440,Masculino,63,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186292411,Masculino,60,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186279873,Feminino,68,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186205578,Masculino,81,Norte,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186154846,Feminino,75,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11186131159,Feminino,64,Venda Nova,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11185259224,Feminino,62,Nordeste,NS,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11185155412,Masculino,86,Barreiro,Sim,Nao,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11185114653,Feminino,81,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11185024117,Masculino,69,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11185016211,Masculino,62,Centro Sul,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184996890,Feminino,70,Leste,NS,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184968903,Masculino,64,Centro Sul,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184863242,Masculino,65,Barreiro,Sim,Nao,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184857575,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184845260,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184822699,Feminino,69,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184815125,Masculino,61,Noroeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184813852,Feminino,75,Centro Sul,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184806050,Feminino,67,Leste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184796958,Masculino,78,Centro Sul,Sim,Nao,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11184788787,Masculino,70,Centro Sul,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183990344,Feminino,84,Barreiro,Sim,Nao,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183921872,Feminino,71,Barreiro,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183843595,Feminino,60,Oeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183750908,Feminino,78,Oeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183738177,Feminino,75,Oeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183707552,Feminino,72,Oeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183523884,Masculino,60,Centro Sul,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11183369876,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11176607355,Feminino,62,Centro Sul,Sim,Nao,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11176075644,Masculino,71,Centro Sul,Sim,NS_NR,principaispreferenciaslazer_5,atividades ao ar livre _parques praã§as bosques
11191305793,Masculino,61,Leste,Sim,Nao,principaispreferenciaslazer_6,shoppings centers
11189360205,Feminino,64,Noroeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11188571079,Feminino,63,Nordeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11188002861,Feminino,60,Noroeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11187986619,Feminino,69,Leste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11187813009,Masculino,61,Nordeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11186442374,Feminino,66,Noroeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11186389992,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11186236366,Feminino,70,Noroeste,Sim,NS_NR,principaispreferenciaslazer_6,shoppings centers
11186154846,Feminino,75,Venda Nova,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11185171203,Masculino,69,Barreiro,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11184898897,Masculino,61,Leste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11184857575,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11184845260,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11184835233,Masculino,61,Nordeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11184824061,Masculino,64,Pampulha,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11183750908,Feminino,78,Oeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11183369876,Feminino,64,Nordeste,Sim,Sim,principaispreferenciaslazer_6,shoppings centers
11183331900,Feminino,69,Nordeste,,Nao Visitou a Pampulha,principaispreferenciaslazer_6,shoppings centers
11192497696,Feminino,60,Pampulha,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11191507447,Feminino,60,Venda Nova,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11191390100,Masculino,72,Venda Nova,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11189400874,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11188571079,Feminino,63,Nordeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11188149720,Masculino,69,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11188001527,Feminino,83,Nordeste,NS,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186442374,Feminino,66,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186416684,Feminino,77,Venda Nova,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186413914,Masculino,67,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186391163,Masculino,76,Venda Nova,,Nao Visitou a Pampulha,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186389992,Feminino,65,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186319236,Feminino,72,Norte,NR,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186236366,Feminino,70,Noroeste,Sim,NS_NR,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186188848,Masculino,84,Venda Nova,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186131159,Feminino,64,Venda Nova,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11186103670,Feminino,70,Norte,NR,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11185259224,Feminino,62,Nordeste,NS,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11185114653,Feminino,81,Noroeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11185066425,Feminino,72,Barreiro,NS,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11185024117,Masculino,69,Nordeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184981003,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184857575,Masculino,68,Oeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184822699,Feminino,69,Nordeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184813852,Feminino,75,Centro Sul,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184796958,Masculino,78,Centro Sul,Sim,Nao,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11184765357,Feminino,64,Oeste,Sim,Sim,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
11183941822,Feminino,68,Barreiro,Sim,Nao,principaispreferenciaslazer_7,consumo de lazer domestico _netflix reuniao de amigos videogames leitura
