respondent_id;Sexo;idade;FaixaIdade;Escolaridade;EscolaridadeOutro;Renda familiar;RegionalMora;BairroUMora;RegionalTouE;BairroUtrabalha;visitouComplexoCMP;freqAtrativosLagoaAtvlazer;NOfrequente;Nofrequenteoutro;MeioTransPamp1;MeioTransPamp2;MeioTransPamp3;MeioTransPamp4;MeioTransPamp5;MeioTransPamp6;MeioTransPamp7;MeioTransPamp8;MeioTransPamp9;aluguel_equipamentos;utiliza_fonte_info_pamp;FonteInfPamp1;FonteInfPamp2;FonteInfPamp3;FonteInfPamp4;FonteInfPamp5;FonteInfPamp6;FonteInfPamp7;FonteInfPamp8;FonteInfPamp9;FonteInfPamp10;FonteInfPamp11;FonteInfPamp12;Motivo_Pampulha;Motivo_PampulhaOutro;tipo_evento;QuantEVPampulha;AtrativosVisitadosPamp1;AtrativosVisitadosPamp2;AtrativosVisitadosPamp3;AtrativosVisitadosPamp4;AtrativosVisitadosPamp5;AtrativosVisitadosPamp6;AtrativosVisitadosPamp7;AtrativosVisitadosPamp8;AtrativosVisitadosPamp9;AtrativosVisitadosPamp10;AtrativosVisitadosPamp11;AtrativosVisitadosPamp12;AtrativosVisitadosPamp13;AtrativosVisitadosPamp_outro;AtrativosRecomendaria1;AtrativosRecomendaria2;AtrativosRecomendaria3;AtrativosRecomendaria4;AtrativosRecomendaria5;AtrativosRecomendaria6;AtrativosRecomendaria7;AtrativosRecomendaria8;AtrativosRecomendaria9;AtrativosRecomendaria10;AtrativosRecomendaria11;AtrativosRecomendaria12;AtrativosRecomendaria13;AtrativosRecomendaria14;AtrativosRecomendaria15;Seguranca;Limpeza da Lagoa;Limpeza dos atrativos;Limpeza da rua e orla;Informacao dos atrativos;Programacao_ opcoes de lazer e entretenimento_;Oferta de estabelecimentos de alimentacao;Mobilidade_atrativos;Mobilidade_Lagoa;Regional_ lazer;PrincipaisPreferenciasLazer_1;PrincipaisPreferenciasLazer_2;PrincipaisPreferenciasLazer_3;PrincipaisPreferenciasLazer_4;PrincipaisPreferenciasLazer_5;PrincipaisPreferenciasLazer_6;PrincipaisPreferenciasLazer_7;PrincipaisPreferenciasLazer_8;PrincipaisPreferenciasLazer_9;Indicaria_Pampulha_lazer;Precisa_melhorias;Quais_melhorias;Sabe_Patrimonio;Sabe_quais_espacos;QuaisParte_Conjunto1;QuaisParte_Conjunto2;QuaisParte_Conjunto3;QuaisParte_Conjunto4;QuaisParte_Conjunto5;QuaisParte_Conjunto6;QuaisParte_Conjunto7;QuaisParte_Conjunto8;QuaisParte_Conjunto9;QuaisParte_Conjunto10;QuaisParte_Conjunto11;QuaisParte_Conjunto12;QuaisParte_Conjunto13;QuaisParte_Conjunto14;QuaisParte_Conjunto15
11196632526;Masculino;44;De 35 a 44 anos;Ensino Superior completo;;Entre 7 SM e 10 SM _ RS 6986,01 a RS 9980,00;Pampulha;Sao Luiz;Noroeste;Carlos Prates;Sim;Uma vez por mes;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;2;;;;;;;;;Mineirao;;Parque Guanabara;Orla da lagoa;;;;;;;;;;;Mineirao;;Parque Guanabara;;;;;5;2;5;8;2;8;8;8;5;Pampulha;;;;Atividades vinculadas a Esportes;Atividades ao ar livre _parques praças bosques;;;;;Sim;Sim;Infraestrutura Sinalizacao em Dia de eventos Estacionamento Quiosque para infos;Sim;Sim;;Igreja Sao Francisco;;;;;;;;;;;;;
11196554165;Feminino;20;De 16 a 24 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Pampulha;Sao Luiz;Pampulha;Castelo;Sim;Uma vez por mes;;;;;;;A pe;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;;Casa do Baile;;;;;Mineirao;;;Orla da lagoa;;;;;;Casa do Baile;;;;;;;;;;;;7;5;8;8;9;NR_NA;5;7;10;Pampulha;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;;;;;;;;Sim;Sim;Mais lanchonete;Nao;Nao;;;;;;;;;;;;;;;
11196412624;Feminino;42;De 35 a 44 anos;Pos-graduacao_ Mestrado_ Doutorado completo;;Entre 7 SM e 10 SM _ RS 6986,01 a RS 9980,00;Pampulha;Sao Luiz;Nao estuda_Nao trabalho_Trabalho itinerante;;Sim;Mais de uma vez por semana;;;;Carro;;;A pe;;;;;Sim_ em algumas vezes;Nao;;;;;;;;;;;;;Lazer_passeio;;;10;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;;Orla da lagoa;;;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;;Parque Ecologico da Pampulha;Mineirao;;;;;;;1;1;4;6;4;4;1;2;10;Pampulha;Bares Botecos e Restaurantes;;;Atividades vinculadas a Esportes;Atividades ao ar livre _parques praças bosques;Shoppings centers;;;;Sim;Sim;Banheiros Restaurantes Sorveteria;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;;;Iate Clube;;;Mineirao;;;;;;
11196320804;Masculino;28;De 25 a 34 anos;Ensino Medio completo_tecnico;;Entre 3 SM e 5 SM _ RS 2994,01 a RS 4990,00;Noroeste;Camargo;Nao estuda_Nao trabalho_Trabalho itinerante;;Sim;Nao frequento;Mobilidade _transporte publico ou privado_;Doenca na familia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;;Cultura e arte _cinema teatro shows;Festas em locais privados_baladas eventos;;;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;onibus Direto;Nao;Nao;;;;;;;;;;;;;;;
11196311984;Masculino;29;De 25 a 34 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Noroeste;Camargo;Noroeste;Camargos;Sim;Nao frequento;Distancia do meu local de residencia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;;;;Atividades vinculadas a Esportes;;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Mobilidade e limpeza;Nao;Nao;;;;;;;;;;;;;;;
11196291770;Masculino;42;De 35 a 44 anos;Ensino Superior completo;;Entre 3 SM e 5 SM _ RS 2994,01 a RS 4990,00;Noroeste;Camargo;Noroeste;Camargos;Sim;Uma vez por mes;;;onibus;;;;;;;;;Nao;Sim;;;;;;;;;;;outro;Site do cruzeiro;Mineirao_Jogo;;;8;;Igreja Sao Francisco;;;;;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;;Igreja Sao Francisco;;;;;;;Mineirao;;;;;;;6;5;5;6;7;7;3;5;3;Pampulha;;;;Atividades vinculadas a Esportes;;;;;;Sim;Sim;Limpeza e seguranca;Sim;Nao;;;;;;;;;;;;;;;
11196279632;Feminino;43;De 35 a 44 anos;Ensino Superior completo;;Entre 3 SM e 5 SM _ RS 2994,01 a RS 4990,00;Noroeste;Camargo;Noroeste;Camargos;Sim;Nao frequento;Falta de tempo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;;;;;;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza e mobilidade;Sim;Nao;;;;;;;;;;;;;;;
11196243395;Feminino;44;De 35 a 44 anos;Outro _especifique_;Fundamental Incompleto;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Noroeste;Camargo;Noroeste;Camargos;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;Bares Botecos e Restaurantes;;;;Atividades ao ar livre _parques praças bosques;;;;;Nao Visitou a Pampulha;;;Sim;Nao;;;;;;;;;;;;;;;
11196209652;Masculino;40;De 35 a 44 anos;Ensino Superior completo;;Entre 5 SM e 7 SM _ RS 4990,01 a RS 6986,00;Pampulha;Castelo;Centro-Sul;Centro;Sim;Uma vez por mes;;;;Carro;;;;;;;;Sim_ em algumas vezes;Nao;;;;;;;;;;;;;Lazer_passeio;;;16;;Igreja Sao Francisco;;;;;;;Mineirao;;;Orla da lagoa;;;;Igreja Sao Francisco;;;;;;;Mineirao;;;;;;;10;1;7;7;7;8;7;8;7;Pampulha;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;;Atividades vinculadas a Esportes;;;;;;Sim;Sim;Limpeza da lagoa;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;;Casa Kubitschek;;;;Mineirao;;;;;;
11196204739;Feminino;37;De 35 a 44 anos;Ensino Fundamental completo;;NS;Noroeste;Camargo;Noroeste;Camargos;Sim;Uma vez por mes;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Mineirao_Jogo;;;4;;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;;Iate Clube;Zoologico e Jardim Botanico;;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;;Igreja Sao Francisco;;;;;;;Mineirao;;;;;;;4;1;4;1;6;6;8;6;3;Pampulha;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;;Atividades vinculadas a Esportes;Atividades ao ar livre _parques praças bosques;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza e seguranca;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;;;;;;;;;
